scenario_set_version,scenario_id,phase,attacker_profile,attacker_job,target_profile,target_job,target_armor_class,family,damage_type,formula_or_routine,damage_on_hit,expected_damage_after_hit_rate,min,max,type_response,uncapped_total_multiplier,total_multiplier,technical_verdict,attacker_effective_stats,attacker_equipment_context,attacker_level_or_band,baseline_comparison,damage_spec_version,design_verdict,hit_count,hit_rate,hit_rate_assumption,mode_or_expected_value,open_proof_needs,player_signal_check,support_context,target_effective_stats,target_level_or_band,target_status_or_element_context

scenario-set-v0,early-none-sword-vs-plate,early,family-representative,Knight,T-PLATE,Knight,plate,sword,swing,pa_wp,27,27,27,27,0.65,0.65,0.65,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,27,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-sword-vs-mail,early,family-representative,Knight,T-MAIL,Squire,mail,sword,swing,pa_wp,31,31,31,31,0.75,0.75,0.75,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,31,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":4,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-sword-vs-leather,early,family-representative,Knight,T-LEATHER,Archer,leather,sword,swing,pa_wp,39,39,39,39,0.95,0.95,0.95,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-sword-vs-cloth,early,family-representative,Knight,T-CLOTH,Black Mage,cloth,sword,swing,pa_wp,42,42,42,42,1.0,1.0,1.0,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,42,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral

scenario-set-v0,early-none-knight_sword-vs-plate,early,family-representative,Knight,T-PLATE,Knight,plate,knight_sword,swing,br_pa_wp,52,52,52,52,0.65,0.65,0.65,stress audit with verified IVC WP maxima; not accepted tuning,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2-verified-wpmax,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,52,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral

