scenario_set_version,scenario_id,phase,attacker_profile,attacker_job,target_profile,target_job,target_armor_class,family,damage_type,formula_or_routine,damage_on_hit,expected_damage_after_hit_rate,min,max,type_response,uncapped_total_multiplier,total_multiplier,technical_verdict,attacker_effective_stats,attacker_equipment_context,attacker_level_or_band,baseline_comparison,damage_spec_version,design_verdict,hit_count,hit_rate,hit_rate_assumption,mode_or_expected_value,open_proof_needs,player_signal_check,support_context,target_effective_stats,target_level_or_band,target_status_or_element_context
scenario-set-v0,early-none-sword-vs-plate,early,family-representative,Knight,T-PLATE,Knight,plate,sword,swing,pa_wp,31,31,31,31,0.65,0.65,0.65,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,31,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-sword-vs-mail,early,family-representative,Knight,T-MAIL,Geomancer,mail,sword,swing,pa_wp,36,36,36,36,0.75,0.75,0.75,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,36,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-sword-vs-leather,early,family-representative,Knight,T-LEATHER,Archer,leather,sword,swing,pa_wp,45,45,45,45,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,45,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-sword-vs-cloth,early,family-representative,Knight,T-CLOTH,Black Mage,cloth,sword,swing,pa_wp,48,48,48,48,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,48,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knight_sword-vs-plate,early,family-representative,Knight,T-PLATE,Knight,plate,knight_sword,swing,br_pa_wp,26,26,26,26,0.65,0.65,0.65,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,26,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knight_sword-vs-mail,early,family-representative,Knight,T-MAIL,Geomancer,mail,knight_sword,swing,br_pa_wp,30,30,30,30,0.75,0.75,0.75,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,30,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knight_sword-vs-leather,early,family-representative,Knight,T-LEATHER,Archer,leather,knight_sword,swing,br_pa_wp,38,38,38,38,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,38,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knight_sword-vs-cloth,early,family-representative,Knight,T-CLOTH,Black Mage,cloth,knight_sword,swing,br_pa_wp,40,40,40,40,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,40,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-katana-vs-plate,early,family-representative,Samurai,T-PLATE,Knight,plate,katana,swing,br_pa_wp,23,23,23,23,0.65,0.65,0.65,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,23,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-katana-vs-mail,early,family-representative,Samurai,T-MAIL,Geomancer,mail,katana,swing,br_pa_wp,27,27,27,27,0.75,0.75,0.75,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,27,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-katana-vs-leather,early,family-representative,Samurai,T-LEATHER,Archer,leather,katana,swing,br_pa_wp,34,34,34,34,0.95,0.95,0.95,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,34,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-katana-vs-cloth,early,family-representative,Samurai,T-CLOTH,Black Mage,cloth,katana,swing,br_pa_wp,36,36,36,36,1.0,1.0,1.0,"conceptually viable, pending verified-baseline re-sim","{""hp"":112,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,36,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knife-vs-plate,early,family-representative,Thief,T-PLATE,Knight,plate,knife,thrust,spd_pa_wp,25,25,25,25,0.6950000000000001,0.6950000000000001,0.6950000000000001,"conceptually viable, pending verified-baseline re-sim","{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,25,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":180,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knife-vs-mail,early,family-representative,Thief,T-MAIL,Geomancer,mail,knife,thrust,spd_pa_wp,39,39,39,39,1.1,1.1,1.1,"conceptually viable, pending verified-baseline re-sim","{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,39,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":165,""pa"":6,""ma"":5,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knife-vs-leather,early,family-representative,Thief,T-LEATHER,Archer,leather,knife,thrust,spd_pa_wp,34,34,34,34,0.965,0.965,0.965,"conceptually viable, pending verified-baseline re-sim","{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,34,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":150,""pa"":6,""ma"":4,""spd"":6,""brave"":70,""faith"":70}",early,neutral
scenario-set-v0,early-none-knife-vs-cloth,early,family-representative,Thief,T-CLOTH,Black Mage,cloth,knife,thrust,spd_pa_wp,36,36,36,36,1.01,1.01,1.01,"conceptually viable, pending verified-baseline re-sim","{""hp"":135,""pa"":5,""ma"":3,""spd"":7,""brave"":70,""faith"":70}",WotL-fallback,early,WotL-fallback / missing-weapon-baseline,sim-inputs-v0.2.1,pending scorecard,1,1.0,100% on-hit damage; accuracy not modeled in this sweep,36,work/baseline_weapons.csv and Windows 04 proof,pending review against 07,none,"{""hp"":112,""pa"":3,""ma"":8,""spd"":6,""brave"":70,""faith"":70}",early,neutral
