score,instr_rva,file_offset,kind,length,target_rva,disp,source_section,target_section,pattern,context_pattern,context_matches,context_rip_relative_offset,context_instruction_length,rip_relative_offset,instruction_length,target_addend,reasons
11,0x7277,0x6677,lea,7,0x659CA8,6629930,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,83 C3 FF 75 F2 41 8B C3 48 8D 15 ?? ?? ?? ?? 41 B8 07 00 00 00 48 8D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x733C,0x673C,lea,7,0x659C90,6629709,.xcode,.rodata,48 8D 0D ?? ?? ?? ??,F8 AF 77 00 85 DB 74 11 48 8D 0D ?? ?? ?? ?? E8 78 F5 FF FF 4C 8B F8,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x734D,0x674D,lea,7,0x659C90,6629692,.xcode,.rodata,4C 8D 3D ?? ?? ?? ??,F5 FF FF 4C 8B F8 EB 07 4C 8D 3D ?? ?? ?? ?? 44 8B C6 33 D2 49 8B CF,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1D40C,0x1C80C,lea,7,0x6FA2E8,7196373,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,00 83 A3 10 0B 00 00 00 48 8D 05 ?? ?? ?? ?? 48 89 03 48 8B C3 C7 83,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x20038,0x1F438,lea,7,0x6FA1E0,7184801,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,00 00 89 83 54 02 00 00 48 8D 05 ?? ?? ?? ?? 48 89 03 48 8B C3 C7 83,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xA168D,0xA0A8D,lea,7,0x700770,6680796,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,FF 48 8B 1D BB 85 C3 03 48 8D 05 ?? ?? ?? ?? 48 89 87 E8 01 00 00 8D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xA169E,0xA0A9E,lea,7,0x700170,6679243,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,87 E8 01 00 00 8D 55 10 48 8D 05 ?? ?? ?? ?? 48 89 87 40 02 00 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xA1722,0xA0B22,lea,7,0x7007C0,6680727,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,FF 48 8B 1D 26 85 C3 03 48 8D 05 ?? ?? ?? ?? 48 89 87 40 02 00 00 8D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xA1733,0xA0B33,lea,7,0x700120,6679014,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,87 40 02 00 00 8D 55 20 48 8D 05 ?? ?? ?? ?? 48 89 87 98 02 00 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xB8B04,0xB7F04,lea,7,0x701298,6588301,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,10 44 24 30 48 89 45 80 48 8D 05 ?? ?? ?? ?? 0F 11 8D 58 02 00 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xBD0D3,0xBC4D3,lea,7,0x701C00,6572838,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,10 45 88 48 89 7C 24 70 48 8D 05 ?? ?? ?? ?? 0F 11 54 24 78 48 89 44,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xBD0E4,0xBC4E4,lea,7,0x701BF0,6572805,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,54 24 78 48 89 44 24 30 48 8D 05 ?? ?? ?? ?? 0F 11 44 24 48 48 89 7C,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0xBD109,0xBC509,lea,7,0x701C20,6572816,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,4C 24 40 48 89 44 24 30 48 8D 05 ?? ?? ?? ?? 0F 11 45 A8 48 89 5D 88,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x100FF1,0x1003F1,lea,7,0x6F5ED0,6246104,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,C8 E8 7D 20 2D 00 EB 07 48 8D 05 ?? ?? ?? ?? 80 78 2C 00 74 4B 48 8D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1053B4,0x1047B4,lea,7,0x704B60,6289317,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,3A 2D 00 4D 85 F6 74 42 48 8D 15 ?? ?? ?? ?? 48 8D 4D E0 E8 8C 34 2D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x10540B,0x10480B,lea,7,0x704B88,6289270,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,4D 8B C6 E8 09 FA FF FF 48 8D 15 ?? ?? ?? ?? 48 8D 4D C0 E8 35 34 2D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x105447,0x104847,lea,7,0x704B78,6289194,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,39 2D 00 4D 85 F6 74 42 48 8D 15 ?? ?? ?? ?? 48 8D 4D F0 E8 F9 33 2D,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x121F60,0x121360,lea,7,0x705A40,6175449,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,83 BB 03 E8 50 6E 2B 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D E0 E8 E0 68 2B,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1248C8,0x123CC8,lea,7,0x705BD0,6165249,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,01 48 8B 89 58 02 00 00 48 8D 05 ?? ?? ?? ?? 4C 8D 0D 0A 13 5E 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1248CF,0x123CCF,lea,7,0x705BE0,6165258,.xcode,.rodata,4C 8D 0D ?? ?? ?? ??,00 48 8D 05 01 13 5E 00 4C 8D 0D ?? ?? ?? ?? 48 89 44 24 20 45 33 C0,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x12524C,0x12464C,lea,7,0x705BD0,6162813,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,2C 80 BB 38 02 00 00 00 48 8D 05 ?? ?? ?? ?? 48 8B 8B 58 02 00 00 4C,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x12525A,0x12465A,lea,7,0x705BE0,6162815,.xcode,.rodata,4C 8D 0D ?? ?? ?? ??,00 48 8B 8B 58 02 00 00 4C 8D 0D ?? ?? ?? ?? 0F 94 C2 48 89 44 24 20,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x12529B,0x12469B,lea,7,0x706348,6164646,.xcode,.rodata,48 8D 0D ?? ?? ?? ??,0F 84 A4 00 00 00 84 C0 48 8D 0D ?? ?? ?? ?? 48 8D 15 8F 10 5E 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1252A2,0x1246A2,lea,7,0x706338,6164623,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,C0 48 8D 0D A6 10 5E 00 48 8D 15 ?? ?? ?? ?? 48 0F 45 D1 48 8D 4C 24,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x126614,0x125A14,lea,7,0x705BD0,6157749,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,01 48 8B 8F 58 02 00 00 48 8D 05 ?? ?? ?? ?? 4C 8D 0D BE F5 5D 00 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x12661B,0x125A1B,lea,7,0x705BE0,6157758,.xcode,.rodata,4C 8D 0D ?? ?? ?? ??,00 48 8D 05 B5 F5 5D 00 4C 8D 0D ?? ?? ?? ?? 48 89 44 24 20 44 8A C6,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x13788C,0x136C8C,lea,7,0x706D70,6091997,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,2A BA 03 E8 24 15 2A 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D E0 E8 B4 0F 2A,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x137D73,0x137173,lea,7,0x7040A0,6079270,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,75 06 41 BE 68 04 00 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D C0 E8 CD 0A 2A,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x164B19,0x163F19,lea,7,0x7082A0,5912448,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,57 B7 03 E8 97 42 27 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D F0 E8 27 3D 27,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x164B60,0x163F60,lea,7,0x708288,5912353,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,57 B7 03 E8 50 42 27 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D F0 E8 E0 3C 27,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x164BA7,0x163FA7,lea,7,0x7082C0,5912338,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,56 B7 03 E8 09 42 27 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D F0 E8 99 3C 27,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x164C09,0x164009,lea,7,0x704808,5897208,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,48 8B CB E8 6B 0A 00 00 48 8D 15 ?? ?? ?? ?? 48 8D 4D F0 E8 37 3C 27,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1871CA,0x1865CA,lea,7,0x70DC60,5794447,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,9F 26 00 83 64 24 44 00 48 8D 15 ?? ?? ?? ?? 48 8D 4F 28 48 89 95 D0,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x189B4D,0x188F4D,lea,7,0x6F5ED0,5686140,.xcode,.rodata,48 8D 35 ?? ?? ?? ??,00 00 0F 85 DD 01 00 00 48 8D 35 ?? ?? ?? ?? 4D 85 F6 75 08 49 8B C5,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1BAA81,0x1B9E81,lea,7,0x7041F0,5543784,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,01 C6 81 64 02 00 00 01 48 8D 15 ?? ?? ?? ?? 48 8D 4C 24 40 E8 BE DD,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x1BAA92,0x1B9E92,lea,7,0x709BC8,5566767,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,4C 24 40 E8 BE DD 21 00 48 8D 15 ?? ?? ?? ?? 48 8D 4C 24 20 E8 AD DD,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x2899C8,0x288DC8,lea,7,0x6F5ED0,4637953,.xcode,.rodata,4C 8D 3D ?? ?? ?? ??,00 4C 8B 05 10 09 A5 03 4C 8D 3D ?? ?? ?? ?? 33 FF C7 45 23 01 88 00,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x2A6BD1,0x2A5FD1,lea,7,0x716398,4650944,.xcode,.rodata,48 8D 15 ?? ?? ?? ??,8B 40 20 48 83 65 58 00 48 8D 15 ?? ?? ?? ?? 0F 57 C0 48 89 45 40 48,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x2B82A3,0x2B76A3,lea,7,0x71E540,4612758,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,2E 48 8B 0D 8D 1B A2 03 48 8D 05 ?? ?? ?? ?? 48 8D 54 24 30 48 89 44,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x2B82BE,0x2B76BE,lea,7,0x704090,4505035,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,5C 24 38 E8 96 70 E2 FF 48 8D 05 ?? ?? ?? ?? 48 89 44 24 30 0F B6 05,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x2B832A,0x2B772A,lea,7,0x71E528,4612599,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,E5 BF 02 00 00 00 EB B9 48 8D 05 ?? ?? ?? ?? 48 89 44 24 40 0F B6 02,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x36A98F,0x369D8F,lea,7,0x71F0D8,3884866,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,FF 48 8B 0D A1 F4 96 03 48 8D 05 ?? ?? ?? ?? 48 8D 54 24 20 48 89 44,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
11,0x4089E1,0x407DE1,lea,7,0x721DB0,3249096,.xcode,.rodata,48 8D 05 ?? ?? ?? ??,FF 4C 89 B7 D0 00 00 00 48 8D 05 ?? ?? ?? ?? 48 89 07 48 8D 8B 48 02,1,11,15,3,7,0,source-.xcode;target-.rodata;lea;target-aligned;near-stride-0x258
