Unit pools (level-matched capture counts): Ramza=79, Beowulf=95, Agrias=123, Cloud=132, Ninja/Rion=18

  off |   Ramza | Beowulf |  Agrias |   Cloud | Ninja/R | class    | note
----------------------------------------------------------------------------------------
+0x00 |       1 |      31 |      30 |      50 |     128 | VARIES   | charId
+0x01 |      16 |      20 |      18 |      19 |      17 | VARIES   | all-distinct (job/ability/uid?)
+0x02 |       0 |      14 |      23 |      32 |       3 | VARIES   | all-distinct (job/ability/uid?)
+0x03 |     160 |      82 |      80 |      88 |      89 | VARIES   | all-distinct (job/ability/uid?)
+0x04 |       0 |       0 |       0 |       0 |       0 | CONST    | team
+0x05 |      11 |       8 |       8 |       8 |       8 | VARIES   | foe-bit
+0x06 |     144 |     144 |      80 |     144 |     144 | VARIES   | gender-flags
+0x08 |     242 |      21 |     173 |      31 |     210 | VARIES   | high byte (id/flags?)
+0x09 |      80 |      97 |      48 |     160 |      64 | VARIES   | zodiac(hi)
+0x0A |       0 |       0 |       0 |       0 |     221 | VARIES   | high byte (id/flags?)
+0x0B |       0 |       0 |       0 |       0 |       1 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x12 |     224 |      13 |      11 |      19 |      20 | VARIES   | high byte (id/flags?)
+0x13 |      25 |      69 |      40 |      41 |       6 | VARIES   | all-distinct (job/ability/uid?)
+0x14 |       0 |       0 |       0 |     189 |     183 | VARIES   | high byte (id/flags?)
+0x15 |       0 |       0 |       0 |       1 |       1 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x16 |     228 |     200 |     200 |     200 |     218 | VARIES   | high byte (id/flags?)
+0x18 |     232 |     232 |     231 |     238 |     231 | VARIES   | high byte (id/flags?)
+0x1A |     156 |     167 |     167 |     155 |     168 | VARIES   | eq:head
+0x1C |     185 |     206 |     207 |     183 |     197 | VARIES   | eq:body
+0x1E |     218 |     217 |     216 |     214 |     236 | VARIES   | eq:acc
+0x20 |      37 |      30 |      30 |       0 |      17 | VARIES   | eq:Rwpn
+0x21 |       0 |       0 |       0 |       1 |       0 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x22 |     255 |     255 |     255 |     255 |     255 | CONST    | eq:Rsh
+0x24 |     255 |     255 |     255 |     255 |      18 | VARIES   | eq:Lwpn
+0x26 |     142 |     255 |     255 |     255 |     255 | VARIES   | eq:Lsh
+0x28 |   43~84 |      19 |   26~96 |   50~98 |      59 | VOLATILE | runtime; varies in: Ramza,Agrias,Cloud
+0x29 |      75 |      68 |      69 |      67 |      71 | VARIES   | Level
+0x2A |      97 |      97 |      97 |      97 |      97 | CONST    | MaxBrave
+0x2B |      97 |      97 |      97 |      97 |      97 | CONST    | Brave
+0x2C |      70 |      65 |      63 |      65 |      72 | VARIES   | MaxFaith
+0x2D |      70 |      65 |      63 |      65 |      72 | VARIES   | Faith
+0x30 |  55~124 |  58~163 |   0~246 |     172 |      21 | VOLATILE | runtime; varies in: Ramza,Beowulf,Agrias
+0x32 |      55 |      58 |      66 |     172 |      21 | VARIES   | MaxHP
+0x33 |       2 |       1 |       1 |       1 |       1 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x34 |      85 |     180 |     232 |      89 |      41 | VARIES   | MP
+0x36 |      85 |     180 |     232 |      89 |      41 | VARIES   | MaxMP
+0x38 |      17 |       5 |       7 |      14 |      15 | VARIES   | rawPA?
+0x39 |       9 |      12 |      17 |       8 |       7 | VARIES   | rawMA?
+0x3A |      10 |       8 |      11 |       9 |      12 | VARIES   | rawSpd?
+0x3B |       3 |       0 |       4 |       0 |       0 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x3C |       0 |       5 |       6 |       5 |       0 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x3D |       0 |       1 |       1 |       0 |       4 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x3E |      20 |       5 |      11 |      14 |      15 | VARIES   | PA
+0x3F |       9 |      17 |      23 |      13 |       7 | VARIES   | MA
+0x40 |      10 |       9 |      12 |       9 |      16 | VARIES   | Speed
+0x41 |       0 |    0~90 |    0~84 |     0~8 |    0~12 | VOLATILE | runtime; varies in: Beowulf,Agrias,Cloud,Ninja/Rion
+0x42 |       6 |       6 |       5 |       4 |       6 | VARIES   | Move
+0x43 |       3 |       3 |       3 |       3 |       4 | VARIES   | Jump
+0x44 |      40 |      14 |      14 |      16 |      15 | VARIES   | small int (stat?)
+0x45 |       0 |       0 |       0 |       0 |      15 | VARIES   | small int (stat?)
+0x46 |      20 |      15 |      15 |      10 |      10 | VARIES   | small int (stat?)
+0x47 |       0 |       0 |       0 |       0 |       5 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x4A |      50 |       0 |       0 |       0 |       0 | VARIES   | small int (stat?)
+0x4B |       0 |       5 |       5 |      20 |      30 | VARIES   | small int (stat?)
+0x4E |      25 |       0 |       0 |       0 |       0 | VARIES   | small int (stat?)
+0x4F |       8 |      10 |      10 |      10 |       9 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x50 |      10 |       8 |       9 |      10 |       9 | VARIES   | small0-11 (zodiac/elem/idx?)
+0x52 |     154 |     145 |     145 |     148 |     224 | VARIES   | high byte (id/flags?)
+0x53 |      64 |     128 |       0 |       0 |      64 | VARIES   | high byte (id/flags?)
+0x54 |      25 |       6 |       6 |      11 |       6 | VARIES   | small int (stat?)
+0x55 |     254 |     255 |     255 |     127 |     191 | VARIES   | high byte (id/flags?)
+0x56 |      16 |       0 |       0 |       0 |       0 | VARIES   | small int (stat?)
+0x59 |       0 |       0 |       0 |       0 |      32 | VARIES   | small int (stat?)
+0x5A |      64 |       0 |      48 |       0 |      64 | VARIES   | small int (stat?)
+0x5D |      32 |       0 |       0 |       0 |       0 | VARIES   | small int (stat?)
+0x60 |      16 |       0 |       0 |       0 |      12 | VARIES   | small int (stat?)
+0x61 |       0 |       0 |    0~32 |       0 |       0 | VOLATILE | runtime; varies in: Agrias
+0x63 |       0 |       0 |       0 |       0 |      48 | VARIES   | small int (stat?)
+0x64 |      64 |       0 |      48 |       0 |      64 | VARIES   | small int (stat?)
+0x78 |     224 |       0 |       0 |       0 |       0 | VARIES   | high byte (id/flags?)
+0x7B |      46 |     247 |     101 |     102 |     236 | VARIES   | high byte (id/flags?)
+0x7C |     162 |      72 |     204 |     125 |     102 | VARIES   | high byte (id/flags?)
+0x7D |      56 |      54 |      44 |      49 |      56 | VARIES   | small int (stat?)
+0x7E |       2 |     185 |     224 |       8 |     146 | VARIES   | high byte (id/flags?)
